"Drivers id",№,"Driver Country","Driver name","Driver surname",Rounds
1,5,Germany, Sebastian,Vettel,All
2,11,Mexico, Sergio,Pérez,All
3,8,France, Romain,Grosjean,All
4,2,Belgium," Stoffel ",Vandoorne,All
5,44,UK, Lewis,Hamilton,All
6,3,Australia, Daniel,Ricciardo,All
7,7,Finland, Kimi,Räikkönen,All
8,20,Denmark," Kevin ",Magnussen,All
9,14,Spain, Fernando,Alonso,1
10,22,UK, Jenson,Button,6
11,77,Finland, Valtteri,Bottas,All
12,33,Netherlands, Max,Verstappen,All
13,31,France, Esteban,Ocon,All
9,14,Spain, Fernando,Alonso,7
15,27,Germany, Nico, Hülkenberg,All
16,30,UK," Jolyon ",Palmer,1
17,55,Spain," Carlos ","Sainz Jr.",17
18,9,Sweden," Marcus ",Ericsson,All
19,36,Italy," Antonio ",Giovinazzi,1
20,94,Germany," Pascal ",Wehrlein,1
21,26,Russia," Daniil",Kvyat,1
22,10,France, Pierre,Gasly,15
23,39,"New Zealand"," Brendon ",Hartley,17
24,28,"New Zealand"," Brendon ",Hartley,18
17,55,Spain," Carlos ","Sainz Jr.",1
21,26,Russia," Daniil",Kvyat,17
22,10,France, Pierre,Gasly,18
25,18,Canada," Lance ",Stroll,All
26,19,Brazil," Felipe ",Massa,All
14,40,UK," Paul ","di Resta",11
9,14,Spain, Fernando,Alonso,2
9,14,Spain, Fernando,Alonso,3
9,14,Spain, Fernando,Alonso,4
9,14,Spain, Fernando,Alonso,5
9,14,Spain, Fernando,Alonso,8
9,14,Spain, Fernando,Alonso,9
9,14,Spain, Fernando,Alonso,10
9,14,Spain, Fernando,Alonso,11
9,14,Spain, Fernando,Alonso,12
9,14,Spain, Fernando,Alonso,13
9,14,Spain, Fernando,Alonso,14
9,14,Spain, Fernando,Alonso,15
9,14,Spain, Fernando,Alonso,16
9,14,Spain, Fernando,Alonso,17
9,14,Spain, Fernando,Alonso,18
9,14,Spain, Fernando,Alonso,19
9,14,Spain, Fernando,Alonso,20
21,26,Russia," Daniil",Kvyat,2
21,26,Russia," Daniil",Kvyat,3
21,26,Russia," Daniil",Kvyat,4
21,26,Russia," Daniil",Kvyat,5
21,26,Russia," Daniil",Kvyat,6
21,26,Russia," Daniil",Kvyat,7
21,26,Russia," Daniil",Kvyat,8
21,26,Russia," Daniil",Kvyat,9
21,26,Russia," Daniil",Kvyat,10
21,26,Russia," Daniil",Kvyat,11
21,26,Russia," Daniil",Kvyat,12
21,26,Russia," Daniil",Kvyat,13
21,26,Russia," Daniil",Kvyat,14
22,10,France, Pierre,Gasly,16
24,28,"New Zealand"," Brendon ",Hartley,19
24,28,"New Zealand"," Brendon ",Hartley,20
22,10,France, Pierre,Gasly,19
22,10,France, Pierre,Gasly,20
27,55,Spain," Carlos ","Sainz Jr.",2
27,55,Spain," Carlos ","Sainz Jr.",3
27,55,Spain," Carlos ","Sainz Jr.",4
27,55,Spain," Carlos ","Sainz Jr.",5
27,55,Spain," Carlos ","Sainz Jr.",6
27,55,Spain," Carlos ","Sainz Jr.",7
27,55,Spain," Carlos ","Sainz Jr.",8
27,55,Spain," Carlos ","Sainz Jr.",9
27,55,Spain," Carlos ","Sainz Jr.",10
27,55,Spain," Carlos ","Sainz Jr.",11
27,55,Spain," Carlos ","Sainz Jr.",12
27,55,Spain," Carlos ","Sainz Jr.",13
27,55,Spain," Carlos ","Sainz Jr.",14
27,55,Spain," Carlos ","Sainz Jr.",15
27,55,Spain," Carlos ","Sainz Jr.",16
16,30,UK," Jolyon ",Palmer,2
16,30,UK," Jolyon ",Palmer,3
16,30,UK," Jolyon ",Palmer,4
16,30,UK," Jolyon ",Palmer,5
16,30,UK," Jolyon ",Palmer,6
16,30,UK," Jolyon ",Palmer,7
16,30,UK," Jolyon ",Palmer,8
16,30,UK," Jolyon ",Palmer,9
16,30,UK," Jolyon ",Palmer,10
16,30,UK," Jolyon ",Palmer,11
16,30,UK," Jolyon ",Palmer,12
16,30,UK," Jolyon ",Palmer,13
16,30,UK," Jolyon ",Palmer,14
16,30,UK," Jolyon ",Palmer,15
16,30,UK," Jolyon ",Palmer,16
17,55,Spain," Carlos ","Sainz Jr.",18
17,55,Spain," Carlos ","Sainz Jr.",19
17,55,Spain," Carlos ","Sainz Jr.",20
19,36,Italy," Antonio ",Giovinazzi,2
20,94,Germany," Pascal ",Wehrlein,3
20,94,Germany," Pascal ",Wehrlein,4
20,94,Germany," Pascal ",Wehrlein,5
20,94,Germany," Pascal ",Wehrlein,6
20,94,Germany," Pascal ",Wehrlein,7
20,94,Germany," Pascal ",Wehrlein,8
20,94,Germany," Pascal ",Wehrlein,9
20,94,Germany," Pascal ",Wehrlein,10
20,94,Germany," Pascal ",Wehrlein,11
20,94,Germany," Pascal ",Wehrlein,12
20,94,Germany," Pascal ",Wehrlein,13
20,94,Germany," Pascal ",Wehrlein,14
20,94,Germany," Pascal ",Wehrlein,15
20,94,Germany," Pascal ",Wehrlein,16
20,94,Germany," Pascal ",Wehrlein,17
20,94,Germany," Pascal ",Wehrlein,18
20,94,Germany," Pascal ",Wehrlein,19
20,94,Germany," Pascal ",Wehrlein,20
